"File","Line","Category","StringValue","Context","IsInterpolated","Layer","Status","LocalizationKey"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Program.cs","121","general","""A multi-tenant survey management system API","Description = ""A multi-tenant survey management system API"",","False","API","✅ DONE","Swagger.ApiDescription"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Program.cs","136","general","""JWT Authorization header using the Bearer scheme. Enter 'Bearer' [space] and then your token.","""JWT Authorization header using the Bearer scheme. Enter 'Bearer' [space] and then your token."",","False","API","✅ DONE","Swagger.JwtAuthDescription"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Program.cs","166","general","""Namespace ID header for multi-tenant context","Description = ""Namespace ID header for multi-tenant context"",","False","API","✅ DONE","Swagger.NamespaceIdDescription"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Program.cs","311","log_message","""Starting SurveyApp API","Log.Information(""Starting SurveyApp API"");","False","API","⏭️ SKIP","(log message)"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Program.cs","316","log_message","""Application terminated unexpectedly","Log.Fatal(ex, ""Application terminated unexpectedly"");","False","API","⏭️ SKIP","(log message)"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Program.cs","332","log_message","""Starting database seeding...","logger.LogInformation(""Starting database seeding..."");","False","API","⏭️ SKIP","(log message)"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Program.cs","338","log_message","""Database seeding completed successfully","logger.LogInformation(""Database seeding completed successfully"");","False","API","⏭️ SKIP","(log message)"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Program.cs","343","log_message","""An error occurred while seeding the database","logger.LogError(ex, ""An error occurred while seeding the database"");","False","API","⏭️ SKIP","(log message)"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Controllers\AuthController.cs","75","general","""Invalid credentials.","Detail = result.Errors.FirstOrDefault() ?? ""Invalid credentials."",","False","API","✅ DONE","Errors.InvalidCredentials"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Controllers\AuthController.cs","114","general","""Invalid or expired token.","Detail = result.Errors.FirstOrDefault() ?? ""Invalid or expired token."",","False","API","✅ DONE","Errors.InvalidOrExpiredToken"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Controllers\AuthController.cs","164","notification_content","""Invalid token or email address.","Detail = ""Invalid token or email address."",","False","API","✅ DONE","Errors.InvalidTokenOrEmail"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Controllers\EmailDistributionsController.cs","90","general","""Distribution not found.","Detail = ""Distribution not found."",","False","API","✅ DONE","Errors.DistributionNotFound"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Controllers\EmailDistributionsController.cs","304","general","""R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","""R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7""","False","API","⏭️ SKIP","(tracking pixel)"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Controllers\EmailDistributionsController.cs","330","general","""Invalid tracking token.","Detail = ""Invalid tracking token."",","False","API","✅ DONE","Errors.InvalidTrackingToken"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Controllers\NamespacesController.cs","102","general","""ID mismatch.","Detail = ""ID mismatch."",","False","API","✅ DONE","Errors.IdMismatch"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Controllers\NamespacesController.cs","149","general","""ID mismatch.","Detail = ""ID mismatch."",","False","API","✅ DONE","Errors.IdMismatch"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Controllers\RecurringSurveysController.cs","123","general","""ID mismatch.","Detail = ""ID mismatch."",","False","API","✅ DONE","Errors.IdMismatch"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Controllers\SurveysController.cs","126","notification_content","""ID mismatch between URL and request body.","Detail = ""ID mismatch between URL and request body."",","False","API","✅ DONE","Errors.IdMismatchUrlBody"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Controllers\TemplatesController.cs","152","general","""ID mismatch.","Detail = ""ID mismatch."",","False","API","✅ DONE","Errors.IdMismatch"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Extensions\ResultExtensions.cs","18","general","""Cannot convert a successful result to ProblemDetails.","""Cannot convert a successful result to ProblemDetails.""","False","API","✅ DONE","Errors.CannotConvertSuccessResult"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Extensions\ResultExtensions.cs","38","general","""Cannot convert a successful result to ProblemDetails.","""Cannot convert a successful result to ProblemDetails.""","False","API","✅ DONE","Errors.CannotConvertSuccessResult"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Extensions\ResultExtensions.cs","143","general","""One or more validation errors occurred.","Title = ""One or more validation errors occurred."",","False","API","✅ DONE","Errors.ValidationErrors"
"C:\Users\CyberDream\Desktop\projects\Work\survey_new\back\src\SurveyApp.API\Extensions\ResultExtensions.cs","160","general","""One or more validation errors occurred.","Title = ""One or more validation errors occurred."",","False","API","✅ DONE","Errors.ValidationErrors"
